config,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,converged,convergence_rate,model_path_in_volume
A0,S8,0,0.925096035003662,14831879.710006714,11559074.957370758,0.7793398533007335,12,True,1.0,A0/S8_seed0.zip
A0,S8,1,0.8534322977066039,13682909.34267044,10663636.559844017,0.7793398533007335,8,True,1.0,A0/S8_seed1.zip
A0,S8,2,0.8721582889556884,13983139.415168762,10897617.820501328,0.7793398533007335,12,True,1.0,A0/S8_seed2.zip
A0,S8,3,0.8001655936241149,12828894.92945671,9998069.092333317,0.7793398533007335,8,True,1.0,A0/S8_seed3.zip
A0,S8,4,0.9434475898742675,15126106.518936157,11788377.635478973,0.7793398533007335,11,True,1.0,A0/S8_seed4.zip
A0,S8,5,0.8319804668426513,13338976.42879486,10395595.933198929,0.7793398533007335,6,True,1.0,A0/S8_seed5.zip
A0,S8,6,0.8747678995132445,14024978.779315948,10930224.904417992,0.7793398533007335,9,True,1.0,A0/S8_seed6.zip
A0,S8,7,0.9328045845031737,14955469.342422485,11655393.283367157,0.7793398533007335,13,True,1.0,A0/S8_seed7.zip
A0,S8,8,0.7974692583084105,12785665.124607086,9964378.382563591,0.7793398533007335,7,True,1.0,A0/S8_seed8.zip
A0,S8,9,0.8261775970458983,13245940.17791748,10323089.075088501,0.7793398533007335,10,True,1.0,A0/S8_seed9.zip
A0,S8,10,0.8696875572204589,13943526.667404175,10866746.027469635,0.7793398533007335,12,True,1.0,A0/S8_seed10.zip
A0,S8,11,0.8957113623619078,14360761.130475998,11191913.47271204,0.7793398533007335,8,True,1.0,A0/S8_seed11.zip
A0,S8,12,0.856490671634674,13731943.640184402,10701850.942075253,0.7793398533007335,6,True,1.0,A0/S8_seed12.zip
A0,S8,13,0.9511789083480834,15250061.201763153,11884980.459809303,0.7793398533007335,13,True,1.0,A0/S8_seed13.zip
A0,S8,14,0.87873637676239,14088604.581356049,10979811.027646065,0.7793398533007335,9,True,1.0,A0/S8_seed14.zip
A0,S8,15,0.8872019052505492,14224330.706501007,11085587.806105614,0.7793398533007335,8,True,1.0,A0/S8_seed15.zip
A0,S8,16,0.9143619537353515,14659782.331848145,11424952.611923218,0.7793398533007335,12,True,1.0,A0/S8_seed16.zip
A0,S8,17,0.8944275379180907,14340177.829933167,11175872.086286545,0.7793398533007335,11,True,1.0,A0/S8_seed17.zip
A0,S8,18,0.8277410268783568,13271006.335735321,10342624.13084507,0.7793398533007335,7,True,1.0,A0/S8_seed18.zip
A0,S8,19,0.8576422929763793,13750407.354831696,10716240.45073986,0.7793398533007335,8,True,1.0,A0/S8_seed19.zip
A0,S8,20,0.9067124724388121,14537139.72811699,11329372.34312296,0.7793398533007335,11,True,1.0,A0/S8_seed20.zip
A0,S8,21,0.8965710997581481,14374545.128202438,11202655.891478062,0.7793398533007335,9,True,1.0,A0/S8_seed21.zip
A0,S8,22,0.8078249692916869,12951696.16765976,10093772.99129963,0.7793398533007335,5,True,1.0,A0/S8_seed22.zip
A0,S8,23,0.81701523065567,13099041.790056229,10208605.307042599,0.7793398533007335,9,True,1.0,A0/S8_seed23.zip
A0,S8,24,0.8708575963973998,13962285.671520233,10881365.666985512,0.7793398533007335,8,True,1.0,A0/S8_seed24.zip
A0,S8,25,0.8619961142539977,13820211.300611496,10770641.447603703,0.7793398533007335,10,True,1.0,A0/S8_seed25.zip
A0,S8,26,0.809686779975891,12981546.205997467,10117036.31579876,0.7793398533007335,8,True,1.0,A0/S8_seed26.zip
