bonus_scale,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,converged,convergence_rate,model_path_in_volume
0.5,S1,6,0.6913980841636658,-7881.93815946579,390812.7670735121,0.010186757215619692,10,True,1.0,D_BONUS0.5/S1_seed6.zip
0.5,S1,7,0.6797009706497192,-7748.591065406799,384200.9736597538,0.010186757215619692,9,True,1.0,D_BONUS0.5/S1_seed7.zip
0.5,S1,8,0.709906280040741,-8092.931592464447,401274.52479302883,0.010186757215619692,10,True,1.0,D_BONUS0.5/S1_seed8.zip
0.5,S1,9,0.7189565300941467,-8196.104443073273,406390.17863571644,0.010186757215619692,8,True,1.0,D_BONUS0.5/S1_seed9.zip
0.5,S2,0,0.7332974672317505,-8916.897201538086,414496.39335274696,0.010873258579680595,6,True,1.0,D_BONUS0.5/S2_seed0.zip
0.5,S2,1,0.6723551154136658,-8175.838203430176,380048.7289875746,0.010873258579680595,11,True,1.0,D_BONUS0.5/S2_seed1.zip
0.5,S2,2,0.0,0.0,0.0,0.0,18,True,1.0,D_BONUS0.5/S2_seed2.zip
0.5,S2,3,0.6710627675056458,-8160.123252868652,379318.22933256626,0.010873258579680595,6,True,1.0,D_BONUS0.5/S2_seed3.zip
0.5,S2,4,0.706943690776825,-8596.435279846191,399599.9212116003,0.010873258579680595,10,True,1.0,D_BONUS0.5/S2_seed4.zip
0.5,S2,5,0.6885595321655273,-8372.883911132812,389208.27555656433,0.010873258579680595,10,True,1.0,D_BONUS0.5/S2_seed5.zip
0.5,S2,6,0.6982630491256714,-8490.878677368164,394693.18851828575,0.010873258579680595,9,True,1.0,D_BONUS0.5/S2_seed6.zip
0.5,S2,7,0.6961596012115479,-8465.300750732422,393504.2145848274,0.010873258579680595,9,True,1.0,D_BONUS0.5/S2_seed7.zip
0.5,S2,8,0.6725476384162903,-8178.17928314209,380157.5526148081,0.010873258579680595,8,True,1.0,D_BONUS0.5/S2_seed8.zip
0.5,S2,9,0.7165207862854004,-8712.892761230469,405013.37444782257,0.010873258579680595,9,True,1.0,D_BONUS0.5/S2_seed9.zip
0.5,S3,0,0.6727079153060914,-10225.160312652588,274162.1108829975,0.01900237529691211,2,True,1.0,D_BONUS0.5/S3_seed0.zip
0.5,S3,1,0.6364254355430604,-9673.666620254517,259375.18625557423,0.01900237529691211,2,True,1.0,D_BONUS0.5/S3_seed1.zip
0.5,S3,2,0.6658971905708314,-10121.637296676636,271386.4000171423,0.01900237529691211,2,True,1.0,D_BONUS0.5/S3_seed2.zip
0.5,S3,3,0.6266123652458192,-9524.50795173645,255375.86945593357,0.01900237529691211,2,True,1.0,D_BONUS0.5/S3_seed3.zip
0.5,S3,4,0.6548700332641603,-9954.024505615234,266892.2820568085,0.01900237529691211,5,True,1.0,D_BONUS0.5/S3_seed4.zip
0.5,S3,5,0.6479357481002809,-9848.623371124268,264066.2141382694,0.01900237529691211,2,True,1.0,D_BONUS0.5/S3_seed5.zip
0.5,S3,6,0.6715103387832643,-10206.957149505615,273674.0385711193,0.01900237529691211,6,True,1.0,D_BONUS0.5/S3_seed6.zip
0.5,S3,7,0.6486425399780275,-9859.366607666016,264354.26716804504,0.01900237529691211,4,True,1.0,D_BONUS0.5/S3_seed7.zip
0.5,S3,8,0.6456897854804994,-9814.484739303589,263150.8720725775,0.01900237529691211,2,True,1.0,D_BONUS0.5/S3_seed8.zip
0.5,S3,9,0.6796821951866151,-10331.169366836548,277004.47864830494,0.01900237529691211,2,True,1.0,D_BONUS0.5/S3_seed9.zip
0.75,S1,0,0.6812442541122437,-7766.184496879578,385073.3146369457,0.010186757215619692,4,True,1.0,D_BONUS0.75/S1_seed0.zip
0.75,S1,1,0.6552773714065552,-7470.162034034729,370395.5341875553,0.010186757215619692,4,True,1.0,D_BONUS0.75/S1_seed1.zip
0.75,S1,2,0.6750856041908264,-7695.975887775421,381592.13776886463,0.010186757215619692,2,True,1.0,D_BONUS0.75/S1_seed2.zip
0.75,S1,3,0.6149381995201111,-7010.295474529266,347593.8172787428,0.010186757215619692,2,True,1.0,D_BONUS0.75/S1_seed3.zip
0.75,S1,4,0.6625595092773438,-7553.178405761719,374511.76261901855,0.010186757215619692,5,True,1.0,D_BONUS0.75/S1_seed4.zip
0.75,S1,5,0.6478151679039001,-7385.092914104462,366177.52365767956,0.010186757215619692,4,True,1.0,D_BONUS0.75/S1_seed5.zip
0.75,S1,6,0.6812703609466553,-7766.48211479187,385088.0715250969,0.010186757215619692,5,True,1.0,D_BONUS0.75/S1_seed6.zip
0.75,S1,7,0.6562030911445618,-7480.715239048004,370918.79726946354,0.010186757215619692,4,True,1.0,D_BONUS0.75/S1_seed7.zip
0.75,S1,8,0.6722474098205566,-7663.620471954346,379987.84840106964,0.010186757215619692,2,True,1.0,D_BONUS0.75/S1_seed8.zip
0.75,S1,9,0.6728315353393555,-7670.279502868652,380318.0253505707,0.010186757215619692,2,True,1.0,D_BONUS0.75/S1_seed9.zip
0.75,S2,0,0.67667555809021,-8228.374786376953,382490.8592104912,0.010873258579680595,3,True,1.0,D_BONUS0.75/S2_seed0.zip
0.75,S2,1,0.6448946595191956,-7841.919059753418,364526.7062932253,0.010873258579680595,3,True,1.0,D_BONUS0.75/S2_seed1.zip
0.75,S2,2,0.6759634017944336,-8219.714965820312,382088.3128643036,0.010873258579680595,2,True,1.0,D_BONUS0.75/S2_seed2.zip
0.75,S2,3,0.610334575176239,-7421.668434143066,344991.6186183691,0.010873258579680595,2,True,1.0,D_BONUS0.75/S2_seed3.zip
0.75,S2,4,0.666343092918396,-8102.732009887695,376650.43327212334,0.010873258579680595,5,True,1.0,D_BONUS0.75/S2_seed4.zip
0.75,S2,5,0.6445851922035217,-7838.155937194824,364351.77989304066,0.010873258579680595,2,True,1.0,D_BONUS0.75/S2_seed5.zip
