job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user
96682,1.0,644030,6.0,1.0,MISC,291,18febf35d3a1
96683,1.0,644031,6.0,0.1,MISC,336,b2c52019b2c6
96684,1.0,644032,6.0,1.0,T4,24,7dd1a2bf0795
96685,5.0,644039,6.0,0.0,CPU,940,2b48c1b886dc
96686,50.0,644042,0.5,0.5,P100,887,2b48c1b886dc
96687,1.0,644046,6.0,1.0,P100,267,58540f191766
96688,1.0,644046,6.0,1.0,P100,1521,58540f191766
96689,5.0,644052,6.0,0.0,CPU,1883,2b48c1b886dc
96690,1.0,644052,6.0,1.0,MISC,2014,58540f191766
96691,1.0,644054,6.0,1.0,MISC,1628,58540f191766
96692,1.0,644054,6.0,1.0,MISC,281,58540f191766
96693,1.0,644054,6.0,1.0,MISC,1145,58540f191766
96694,1.0,644055,6.0,1.0,MISC,2932,58540f191766
96695,1.0,644055,6.0,0.5,MISC,190,58540f191766
96696,1.0,644055,6.0,1.0,MISC,1917,58540f191766
96697,1.0,644056,6.0,1.0,P100,1830,58540f191766
96698,1.0,644057,6.0,1.0,MISC,450,58540f191766
96699,1.0,644057,6.0,0.5,P100,135,58540f191766
96700,1.0,644058,6.0,0.5,MISC,228,58540f191766
96701,1.0,644058,6.0,1.0,MISC,1233,58540f191766
96702,1.0,644058,6.0,1.0,MISC,2801,58540f191766
96703,1.0,644058,6.0,1.0,MISC,1895,58540f191766
96704,1.0,644058,6.0,1.0,MISC,1593,58540f191766
96705,1.0,644059,6.0,0.5,MISC,3007,58540f191766
96706,1.0,644060,6.0,1.0,MISC,2040,58540f191766
96707,1.0,644061,6.0,1.0,MISC,1806,58540f191766
96708,1.0,644061,6.0,1.0,MISC,1149,58540f191766
96709,1.0,644062,6.0,1.0,MISC,1630,58540f191766
96710,1.0,644062,6.0,0.5,MISC,172,58540f191766
96711,1.0,644062,6.0,1.0,MISC,1640,58540f191766
96712,1.0,644063,6.0,0.5,MISC,192,58540f191766
96713,1.0,644066,6.0,1.0,T4,46,b6cab5628423
96714,1.0,644070,6.0,0.25,MISC,3683,58540f191766
96715,1.0,644074,6.0,0.25,MISC,3513,58540f191766
96716,1.0,644075,6.0,0.5,MISC,121,67aee313a79c
96717,1.0,644078,6.0,0.25,P100,4325,58540f191766
96718,1.0,644079,6.0,1.0,MISC,618,58540f191766
96719,1.0,644079,6.0,1.0,MISC,2688,58540f191766
96720,1.0,644079,6.0,1.0,MISC,6792,58540f191766
96721,1.0,644090,6.0,0.25,MISC,3463,58540f191766
96722,16.0,644095,0.5,1.0,T4,82,d4d51aca8806
96723,1.0,644115,6.0,0.25,MISC,3400,58540f191766
96724,2.0,644150,3.0,0.0,CPU,5362,007d78e326bc
96725,8.0,644153,3.0,1.0,T4,5346,007d78e326bc
96726,1.0,644156,6.0,0.0,CPU,3429,cbb640cfcf82
96727,12.0,644159,6.0,0.5,T4,3417,cbb640cfcf82
96728,1.0,644164,6.0,0.25,MISC,142,3fd64b52e429
96729,1.0,644174,6.0,0.25,MISC,3475,58540f191766
96730,1.0,644184,6.0,0.25,MISC,3433,58540f191766
96731,1.0,644185,6.0,1.0,T4,1776,c9e676ebc7ef
96732,1.0,644186,6.0,0.25,MISC,993,05b25af4dd8b
96733,10.0,644189,6.0,1.0,V100,308,edc10645cc3f
96734,1.0,644197,6.0,0.25,MISC,3441,58540f191766
96735,1.0,644215,6.0,0.25,MISC,3456,58540f191766
96736,1.0,644216,6.0,1.0,MISC,34504,929df4229e52
96737,1.0,644216,6.0,1.0,MISC,43,02919b91cc08
96738,5.0,644221,6.0,0.0,CPU,49816,2a9199217308
96739,50.0,644226,4.0,0.5,MISC,49757,2a9199217308
96740,1.0,644227,6.0,0.25,MISC,3485,58540f191766
96741,1.0,644232,6.0,0.5,MISC,769,67aee313a79c
96742,1.0,644243,6.0,0.25,MISC,3445,58540f191766
96743,1.0,644250,6.0,0.25,MISC,26,05b25af4dd8b
96744,1.0,644254,6.0,0.0,CPU,495,b88fff433bdf
96745,3.0,644257,6.0,0.5,T4,436,b88fff433bdf
96746,1.0,644279,10.0,2.0,MISC,268,4c1db11dd93b
96747,1.0,644283,6.0,0.25,MISC,3413,58540f191766
96748,16.0,644292,0.5,1.0,T4,198,d4d51aca8806
96749,1.0,644296,6.0,0.25,MISC,3558,58540f191766
96750,1.0,644329,6.0,0.25,MISC,3538,58540f191766
96751,1.0,644334,6.0,0.25,MISC,399,698d948206d0
96752,1.0,644340,6.0,0.25,MISC,3408,58540f191766
96753,2.0,644341,3.0,0.0,CPU,5362,007d78e326bc
96754,8.0,644344,3.0,1.0,T4,5348,007d78e326bc
96755,1.0,644348,6.0,0.25,MISC,4003,58540f191766
96756,1.0,644369,6.0,1.0,MISC,109,8a62203af148
96757,1.0,644372,1.0,0.0,CPU,74,a8192d6b0ae9
96758,1.0,644372,6.0,0.25,MISC,3469,58540f191766
96759,20.0,644375,6.0,1.0,V100,114,a8192d6b0ae9
96760,1.0,644380,6.0,0.25,MISC,3572,58540f191766
96761,20.0,644387,1.0,1.0,T4,199,c7152ce0fec1
96762,1.0,644392,6.0,0.25,MISC,3867,58540f191766
96763,2.0,644396,6.0,0.0,CPU,5715,e92c26530fa7
96764,10.0,644399,6.0,0.5,MISC,5656,e92c26530fa7
96765,1.0,644399,1.0,0.0,CPU,1765,b3bfe9b79bb5
96766,50.0,644401,4.0,0.5,V100,1704,b3bfe9b79bb5
96767,1.0,644404,6.0,1.0,T4,35,7dd1a2bf0795
96768,1.0,644409,6.0,1.0,MISC,62,a8192d6b0ae9
96769,1.0,644409,6.0,0.25,MISC,3454,58540f191766
96770,2.0,644409,12.0,0.0,CPU,4376,e4b1b6341597
96771,1.0,644411,6.0,0.25,MISC,48,05b25af4dd8b
96772,8.0,644412,12.0,1.0,P100,4328,e4b1b6341597
96773,2.0,644415,3.0,0.0,CPU,7466,007d78e326bc
96774,8.0,644418,3.0,1.0,T4,7457,007d78e326bc
96775,1.0,644421,6.0,0.25,MISC,3619,58540f191766
96776,16.0,644424,0.5,1.0,T4,228,d4d51aca8806
96777,1.0,644463,6.0,0.5,T4,195,9ad16018440a
96778,8.0,644468,8.0,0.0,CPU,2291,792f892e0fad
96779,4.0,644476,6.0,0.5,T4,5038,c9e676ebc7ef
96780,1.0,644476,6.0,0.0,CPU,1016,b3bfe9b79bb5
96781,28.0,644476,6.0,0.25,MISC,2222,792f892e0fad
96782,1.0,644477,18.0,1.0,MISC,676,d254e7e22ccd
96783,50.0,644478,4.0,0.5,MISC,959,b3bfe9b79bb5
96784,1.0,644481,16.0,1.0,MISC,109,5177742d9c1f
96785,1.0,644493,6.0,0.0,CPU,37738,8db9fdf29c7c
96786,1.0,644496,6.0,1.0,T4,798,1480b75a8c96
96787,1.0,644496,16.0,1.0,MISC,105,18febf35d3a1
96788,10.0,644497,6.0,0.25,MISC,37687,8db9fdf29c7c
96789,1.0,644502,6.0,0.25,MISC,39,05b25af4dd8b
96790,1.0,644515,1.0,0.0,CPU,17949,b3bfe9b79bb5
96791,1.0,644521,6.0,1.0,MISC,41,a8192d6b0ae9
96792,1.0,644523,1.0,0.0,CPU,4113,b3bfe9b79bb5
96793,50.0,644526,4.0,0.5,P100,4053,b3bfe9b79bb5
96794,1.0,644528,6.0,0.0,CPU,83,5b1345f03aa1
96795,1.0,644530,6.0,1.0,MISC,72,5b1345f03aa1
96796,1.0,644547,6.0,0.25,MISC,45,05b25af4dd8b
96797,1.0,644561,6.0,0.0,CPU,295,b2c52019b2c6
96798,1.0,644562,6.0,1.0,MISC,65,0ee793d049c5
96799,1.0,644564,6.0,0.1,MISC,239,b2c52019b2c6
96800,1.0,644571,6.0,0.0,CPU,297,b2c52019b2c6
96801,8.0,644575,6.0,0.25,T4,2937,c9e676ebc7ef
96802,1.0,644575,6.0,0.1,MISC,238,b2c52019b2c6
96803,1.0,644598,6.0,0.0,CPU,1195,3e92fff000f3
96804,1.0,644600,6.0,0.1,MISC,1133,3e92fff000f3
96805,8.0,644603,6.0,0.25,T4,3295,c9e676ebc7ef
96806,8.0,644611,6.0,0.25,T4,4169,c9e676ebc7ef
96807,1.0,644619,6.0,0.0,CPU,5956,edc10645cc3f
96808,1.0,644620,6.0,2.0,T4,969,a58540410e7b
96809,8.0,644622,6.0,0.2,MISC,5896,edc10645cc3f
96810,1.0,644630,4.0,1.0,T4,11776,205ccfa32cac
96811,1.0,644636,6.0,1.0,P100,32876,b764aa680278
96812,16.0,644641,0.5,1.0,T4,2010,d4d51aca8806
96813,1.0,644642,6.0,1.0,T4,347,85ce309e5a91
96814,12.0,644647,6.0,0.25,MISC,3145,f8b49e6b4311
96815,1.0,644651,6.0,0.5,MISC,173,f134c9ec05e3
96816,4.0,644651,6.0,0.5,T4,15468,c9e676ebc7ef
96817,1.0,644673,1.0,0.0,CPU,619,7c7043643554
96818,1.0,644673,6.0,0.5,MISC,51,05b25af4dd8b
96819,5.0,644675,6.0,0.0,CPU,1652,b2c52019b2c6
96820,20.0,644678,1.0,1.0,T4,163,c7152ce0fec1
96821,50.0,644678,0.5,0.25,MISC,1593,b2c52019b2c6
96822,20.0,644716,6.0,0.0,CPU,1465,df2899e220e8
96823,1.0,644717,6.0,0.25,MISC,3288,4b78c30a5e24
96824,1.0,644721,6.0,1.0,T4,24,d6b8db49766a
96825,60.0,644722,4.0,0.5,P100,1400,df2899e220e8
96826,2.0,644725,6.0,0.25,MISC,4060,b8cfae018ad6
96827,1.0,644730,6.0,0.5,T4,46,9ad16018440a
96828,8.0,644730,6.0,0.25,MISC,8493,f8b49e6b4311
96829,1.0,644737,6.0,0.5,MISC,38,05b25af4dd8b
96830,2.0,644743,3.0,0.0,CPU,5422,007d78e326bc
96831,8.0,644746,3.0,1.0,T4,5406,007d78e326bc
96832,1.0,644751,6.0,2.0,MISC,42,f14128db0160
96833,16.0,644770,0.5,1.0,T4,79,d4d51aca8806
96834,1.0,644774,6.0,0.0,CPU,405,edc10645cc3f
96835,4.0,644774,3.0,1.0,MISC,7353,25fb0c43d468
96836,1.0,644777,6.0,0.25,MISC,351,edc10645cc3f
96837,1.0,644782,6.0,0.5,MISC,45,05b25af4dd8b
96838,1.0,644782,6.0,1.0,MISC,54,f5440bdf32a5
96839,1.0,644783,6.0,1.0,MISC,123,5b1345f03aa1
96840,1.0,644785,6.0,2.0,V100,317,4547a7e5a490
96841,1.0,644786,1.0,1.0,MISC,168,dc923a51ca33
96842,1.0,644789,6.0,0.0,CPU,1334,b88fff433bdf
96843,1.0,644791,6.0,1.0,MISC,53,42aa9724a88c
96844,3.0,644791,6.0,0.5,T4,1278,b88fff433bdf
96845,1.0,644805,6.0,1.0,MISC,92,f5440bdf32a5
96846,1.0,644811,1.0,0.0,CPU,3409,2bc5a7dc9907
96847,1.0,644844,6.0,1.0,MISC,140,de69ddc1064e
96848,1.0,644846,6.0,0.5,T4,45,9ad16018440a
96849,1.0,644849,6.0,0.25,T4,721,aaea7d552f1f
96850,1.0,644851,6.0,1.0,MISC,1341,de69ddc1064e
96851,1.0,644864,6.0,1.0,T4,144,7dd1a2bf0795
96852,1.0,644877,6.0,1.0,MISC,1121,5b1345f03aa1
96853,1.0,644878,1.0,1.0,MISC,126,dc923a51ca33
96854,1.0,644882,18.0,1.0,T4,44,c7152ce0fec1
96855,1.0,644890,6.0,1.0,MISC,67,f5440bdf32a5
96856,1.0,644893,6.0,1.0,MISC,1163,5b1345f03aa1
96857,1.0,644909,8.0,1.0,T4,5719,b13fd7656207
96858,1.0,644913,6.0,1.0,MISC,1428,5b1345f03aa1
96859,1.0,644914,6.0,0.25,T4,719,aaea7d552f1f
96860,1.0,644914,6.0,0.25,MISC,143,3fd64b52e429
96861,5.0,644927,6.0,0.0,CPU,539,e6aa18ac83e5
96862,15.0,644930,3.0,0.25,MISC,479,e6aa18ac83e5
96863,5.0,644932,6.0,0.0,CPU,892,b2c52019b2c6
96864,1.0,644933,6.0,1.0,MISC,980,5b1345f03aa1
96865,1.0,644935,6.0,2.0,T4,1784,a58540410e7b
96866,50.0,644936,0.5,0.25,P100,835,b2c52019b2c6
96867,1.0,644940,6.0,0.25,MISC,140,5b1345f03aa1
96868,2.0,644943,6.0,0.25,MISC,4507,b8cfae018ad6
96869,1.0,644949,6.0,1.0,MISC,968,5b1345f03aa1
96870,1.0,644954,6.0,1.0,T4,165,7dd1a2bf0795
96871,5.0,644955,6.0,0.0,CPU,998,b2c52019b2c6
96872,1.0,644957,6.0,0.5,T4,46,9ad16018440a
96873,50.0,644958,0.5,0.25,MISC,935,b2c52019b2c6
96874,1.0,644985,6.0,0.5,MISC,33,05b25af4dd8b
96875,50.0,644986,0.5,0.5,MISC,892,2b48c1b886dc
96876,2.0,644998,2.0,0.0,CPU,726,b3bfe9b79bb5
96877,100.0,645001,2.0,0.25,V100,716,b3bfe9b79bb5
96878,2.0,645015,6.0,0.0,CPU,596,8cfd63627f23
96879,10.0,645018,6.0,0.25,MISC,541,8cfd63627f23
96880,200.0,645025,8.0,0.0,CPU,10514,b3bfe9b79bb5
96881,1.0,645025,1.0,0.0,CPU,10520,b3bfe9b79bb5
96882,1.0,645035,6.0,1.0,T4,24,7dd1a2bf0795
96883,16.0,645038,0.5,1.0,T4,149,d4d51aca8806
96884,1.0,645038,6.0,1.0,MISC,70,67aee313a79c
96885,1.0,645039,16.0,1.0,P100,275,b3bfe9b79bb5
96886,1.0,645040,6.0,1.0,MISC,178,1ce07c41cd2d
96887,5.0,645040,6.0,0.0,CPU,2562,b2c52019b2c6
96888,2.0,645044,3.0,0.0,CPU,7768,007d78e326bc
96889,8.0,645047,3.0,1.0,T4,7754,007d78e326bc
96890,50.0,645050,0.5,0.25,P100,2493,b2c52019b2c6
96891,1.0,645071,6.0,1.0,MISC,318,952408b1356c
96892,1.0,645074,6.0,1.0,MISC,376,952408b1356c
96893,1.0,645075,6.0,1.0,MISC,385,952408b1356c
96894,1.0,645075,6.0,1.0,MISC,385,952408b1356c
96895,1.0,645075,6.0,1.0,MISC,395,952408b1356c
96896,1.0,645075,6.0,1.0,MISC,356,952408b1356c
96897,1.0,645075,6.0,1.0,MISC,529,952408b1356c
96898,1.0,645076,6.0,1.0,MISC,404,952408b1356c
96899,1.0,645076,18.0,1.0,V100,789,d254e7e22ccd
96900,1.0,645077,6.0,1.0,MISC,444,952408b1356c
96901,1.0,645078,6.0,1.0,MISC,385,952408b1356c
96902,2.0,645084,15.0,1.0,MISC,1117,7c73a6edaa4c
96903,1.0,645086,6.0,0.5,MISC,44,05b25af4dd8b
96904,1.0,645088,6.0,0.5,T4,46,9ad16018440a
96905,1.0,645104,2.0,0.0,CPU,63,d4d51aca8806
96906,1.0,645104,2.0,0.0,CPU,73,d4d51aca8806
96907,1.0,645104,6.0,0.25,T4,94,d4d51aca8806
96908,1.0,645104,6.0,0.25,T4,94,d4d51aca8806
96909,1.0,645106,6.0,0.25,T4,83,d4d51aca8806
96910,1.0,645106,2.0,0.0,CPU,63,d4d51aca8806
96911,1.0,645106,2.0,0.0,CPU,63,d4d51aca8806
96912,1.0,645106,6.0,0.25,T4,84,d4d51aca8806
96913,1.0,645106,6.0,0.25,T4,83,d4d51aca8806
96914,1.0,645106,6.0,0.25,T4,84,d4d51aca8806
96915,1.0,645106,2.0,0.0,CPU,63,d4d51aca8806
96916,1.0,645106,2.0,0.0,CPU,63,d4d51aca8806
