config,seed,scenario,convergence_rate,timeout_rate,mean_rounds,welfare_dc,welfare_mfg,shapley_fairness,price_of_anarchy
A0,7,S_AIR_M,1.0,0.0,16.0,1943383.5031555172,1514556.2142562866,0.7793398533007335,0.9567390680981539
A0,8,S1,1.0,0.0,2.0,211266.45315289497,342583.546847105,0.6166859298913824,1.0000000000698672
A0,8,S2,1.0,0.0,2.0,226636.49038612843,326453.5096138716,0.6942381800526317,1.0000000000698672
A0,8,S3,1.0,0.0,2.0,180382.2717308998,81934.20089185238,0.45422535211267606,0.6685777307023815
A0,8,S4,1.0,0.0,2.0,572907.6530456543,445400.7668495178,0.7774390243902439,0.7277790308507126
A0,8,S5,1.0,0.0,2.0,1423296.3584320073,1109231.5751838684,0.7793398533007334,0.7006971240533185
A0,8,S6,1.0,0.0,2.0,1038533.4705352783,471728.2313346861,0.4542253521126759,0.6530014276960737
A0,8,S7,1.0,0.0,2.0,534516.5576934814,415554.03113365173,0.7774390243902439,0.6790098548409882
A0,8,S8,1.0,0.0,2.0,8256614.9827014115,15546841.853677161,0.5310798849316486,0.8343951106654426
A0,8,S9,1.0,0.0,2.0,1087984.538269043,494190.15998840315,0.4542253521126759,0.6840949059010659
A0,8,S_AIR_M,1.0,0.0,2.0,1423296.3584320073,1109231.5751838684,0.7793398533007334,0.7006971240533185
A0,9,S1,1.0,0.0,2.0,202507.99162387848,157437.61543929577,0.7774390243902439,0.6498972774006007
A0,9,S2,1.0,0.0,2.0,210166.7342821254,257764.45822204216,0.8153441158326199,0.846030831396085
A0,9,S3,1.0,0.0,2.0,184251.56913995743,83691.73386991024,0.45422535211267606,0.6829190850735006
A0,9,S4,1.0,0.0,2.0,517968.0221557617,402688.5538101196,0.7774390243902439,0.6579878330690422
A0,9,S5,1.0,0.0,2.0,1400500.0017700195,1091465.465927124,0.7793398533007335,0.6894743443017104
A0,9,S6,1.0,0.0,2.0,986312.1070861816,448007.9641342163,0.45422535211267606,0.6201660633520439
A0,9,S7,1.0,0.0,2.0,529177.20086135,428518.8755794611,0.8097833294441901,0.684459745931762
A0,9,S8,1.0,0.0,2.0,10292386.820282852,15064913.042543015,0.6832025376593513,0.8888627887393162
A0,9,S9,1.0,0.0,2.0,1028184.2964172363,467027.37407684326,0.45422535211267606,0.6464941502069107
A0,9,S_AIR_M,1.0,0.0,2.0,1400500.0017700195,1091465.465927124,0.7793398533007335,0.6894743443017104
D,0,S1,1.0,0.0,2.0,-6069.597959518433,300950.8988261223,0.010186757215619692,0.5324208736791666
D,0,S2,1.0,0.0,6.0,-7220.727691650391,335651.0137915611,0.010873258579680595,0.5938098431048424
D,0,S3,1.0,0.0,3.0,-8256.244325637817,221370.55098116395,0.01900237529691211,0.5431739688299113
D,0,S4,1.0,0.0,16.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,0,S5,1.0,0.0,9.0,1584437.047473145,1234814.9361419678,0.7793398533007334,0.7800276279994433
D,0,S6,1.0,0.0,19.0,1469238.8076782227,667365.514755249,0.45422535211267606,0.9238171578099041
D,0,S7,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,0,S8,1.0,0.0,2.0,9382061.953958984,12283546.32005978,0.7637909858847117,0.7594559789234516
D,0,S9,1.0,0.0,18.0,1427132.4741363525,648239.7505760193,0.45422535211267606,0.8973418474824318
D,0,S_AIR_M,0.36666666666666664,0.6333333333333333,18.466666666666665,1578831.46275557,1300823.0160786642,0.7375781054180109,0.7967397258696745
D,1,S1,1.0,0.0,5.0,-6269.805800914764,310877.87096202374,0.010186757215619692,0.549982965030949
D,1,S2,1.0,0.0,7.0,-6508.151588439941,302527.3589938879,0.010873258579680595,0.5352098346130467
D,1,S3,1.0,0.0,18.0,-15200.0,407549.99999999994,0.01900237529691211,1.0000000000698666
D,1,S4,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,1,S5,1.0,0.0,7.0,1541505.1420135498,1201356.3912391663,0.7793398533007335,0.7588919997745474
D,1,S6,1.0,0.0,10.0,1245301.3885498047,565647.4617004395,0.45422535211267606,0.7830114365171077
D,1,S7,1.0,0.0,20.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,1,S8,1.0,0.0,2.0,9582516.837466063,9731629.757284818,0.9846774976506754,0.6770289540763842
D,1,S9,1.0,0.0,10.0,1177876.1030197144,535021.1876392362,0.4542253521126759,0.7406162620108192
D,1,S_AIR_M,0.13333333333333333,0.8666666666666667,18.633333333333333,1321872.208865036,1218720.3494815982,0.7698561574660153,0.7029284358111888
D,2,S1,1.0,0.0,2.0,-6299.180960655212,312334.3892991543,0.010186757215619692,0.5525597334294139
D,2,S2,1.0,0.0,9.0,-7653.757133483887,355780.11675179005,0.010873258579680595,0.6294208169423219
D,2,S3,1.0,0.0,6.0,-8535.222387313843,228850.6502598524,0.01900237529691211,0.5615277886783007
D,2,S4,1.0,0.0,16.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,2,S5,1.0,0.0,17.0,2031257.6000000006,1583040.0,0.7793398533007334,1.0000000000698654
D,2,S6,1.0,0.0,17.0,1590400.0,722400.0,0.45422535211267606,1.0000000000698652
D,2,S7,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,2,S8,1.0,0.0,2.0,10784956.030880867,9241441.167605462,0.8568826002761796,0.7019958496584203
D,2,S9,1.0,0.0,16.0,1590400.0,722400.0,0.45422535211267606,1.0000000000698652
D,2,S_AIR_M,0.7666666666666667,0.23333333333333334,16.433333333333334,1708907.7592142108,1437523.1541834907,0.7228290917970558,0.870551144880136
D,3,S1,1.0,0.0,2.0,-6748.183107376099,334597.4124073982,0.010186757215619692,0.5919458866532962
D,3,S2,1.0,0.0,2.0,-6981.454849243164,324528.5652577877,0.010873258579680595,0.574132800142347
