dc_name,process_name,delta_beta_pct,delta_gamma_pct,delta_delta_pct,beta,gamma,delta,is_match_score
Mid_LC,HighT_130C,-20,20,-10,0.32,0.48,0.18,0.4274
Mid_LC,LowT_60C,-20,20,-10,0.32,0.48,0.18,0.5646
Mid_LC,MidT_90C,-20,20,-10,0.32,0.48,0.18,0.4937
Hyperscale_LC,HighT_130C,-20,20,-10,0.32,0.48,0.18,0.428
Hyperscale_LC,LowT_60C,-20,20,-10,0.32,0.48,0.18,0.5653
Hyperscale_LC,MidT_90C,-20,20,-10,0.32,0.48,0.18,0.4945
Edge_LC,HighT_130C,-20,20,0,0.32,0.48,0.2,0.4158
Edge_LC,LowT_60C,-20,20,0,0.32,0.48,0.2,0.5596
Edge_LC,MidT_90C,-20,20,0,0.32,0.48,0.2,0.4852
Mid_LC,HighT_130C,-20,20,0,0.32,0.48,0.2,0.4158
Mid_LC,LowT_60C,-20,20,0,0.32,0.48,0.2,0.5596
Mid_LC,MidT_90C,-20,20,0,0.32,0.48,0.2,0.4852
Hyperscale_LC,HighT_130C,-20,20,0,0.32,0.48,0.2,0.4165
Hyperscale_LC,LowT_60C,-20,20,0,0.32,0.48,0.2,0.5603
Hyperscale_LC,MidT_90C,-20,20,0,0.32,0.48,0.2,0.486
Edge_LC,HighT_130C,-20,20,10,0.32,0.48,0.22,0.4043
Edge_LC,LowT_60C,-20,20,10,0.32,0.48,0.22,0.5546
Edge_LC,MidT_90C,-20,20,10,0.32,0.48,0.22,0.4768
Mid_LC,HighT_130C,-20,20,10,0.32,0.48,0.22,0.4043
Mid_LC,LowT_60C,-20,20,10,0.32,0.48,0.22,0.5546
Mid_LC,MidT_90C,-20,20,10,0.32,0.48,0.22,0.4768
Hyperscale_LC,HighT_130C,-20,20,10,0.32,0.48,0.22,0.405
Hyperscale_LC,LowT_60C,-20,20,10,0.32,0.48,0.22,0.5553
Hyperscale_LC,MidT_90C,-20,20,10,0.32,0.48,0.22,0.4776
Edge_LC,HighT_130C,-20,20,20,0.32,0.48,0.24,0.3928
Edge_LC,LowT_60C,-20,20,20,0.32,0.48,0.24,0.5496
Edge_LC,MidT_90C,-20,20,20,0.32,0.48,0.24,0.4683
Mid_LC,HighT_130C,-20,20,20,0.32,0.48,0.24,0.3928
Mid_LC,LowT_60C,-20,20,20,0.32,0.48,0.24,0.5496
Mid_LC,MidT_90C,-20,20,20,0.32,0.48,0.24,0.4683
Hyperscale_LC,HighT_130C,-20,20,20,0.32,0.48,0.24,0.3934
Hyperscale_LC,LowT_60C,-20,20,20,0.32,0.48,0.24,0.5503
Hyperscale_LC,MidT_90C,-20,20,20,0.32,0.48,0.24,0.4691
Edge_LC,HighT_130C,-10,-20,-20,0.36,0.32,0.16,0.3397
Edge_LC,LowT_60C,-10,-20,-20,0.36,0.32,0.16,0.4801
Edge_LC,MidT_90C,-10,-20,-20,0.36,0.32,0.16,0.4078
Mid_LC,HighT_130C,-10,-20,-20,0.36,0.32,0.16,0.3397
Mid_LC,LowT_60C,-10,-20,-20,0.36,0.32,0.16,0.4801
Mid_LC,MidT_90C,-10,-20,-20,0.36,0.32,0.16,0.4078
Hyperscale_LC,HighT_130C,-10,-20,-20,0.36,0.32,0.16,0.3392
Hyperscale_LC,LowT_60C,-10,-20,-20,0.36,0.32,0.16,0.4797
Hyperscale_LC,MidT_90C,-10,-20,-20,0.36,0.32,0.16,0.4075
