step,scenario,T_CabRet_C,T_CabSup_C,T_supply_C,Q_available_kW,Q_EHX1_kW,T_EHX_HotSup_C,T_EHX_HotRet_C,m_flow_kgs,m_flow_HWL_kgs,t_sim_h
114,LC_Frontier_5Cabinet,29.236,26.366,29.236,1469.11,367.28,23.03,24.989,5.9781,110.9871,3.808
115,LC_Frontier_5Cabinet,29.153,26.342,29.153,1468.42,367.11,23.028,24.986,5.9223,110.994,3.812
116,LC_Frontier_5Cabinet,29.072,26.32,29.072,1467.79,366.95,23.026,24.984,5.8595,111.0055,3.817
117,LC_Frontier_5Cabinet,29.005,26.304,29.005,1467.26,366.82,23.024,24.981,5.7909,111.0293,3.821
118,LC_Frontier_5Cabinet,28.948,26.297,28.948,1466.99,366.75,23.022,24.978,5.7178,111.0827,3.825
119,LC_Frontier_5Cabinet,28.93,26.3,28.93,1467.06,366.77,23.021,24.976,5.641,111.1763,3.829
120,LC_Frontier_5Cabinet,28.958,26.335,28.958,1467.45,366.86,23.019,24.973,5.5612,111.306,3.833
121,LC_Frontier_5Cabinet,28.994,26.381,28.994,1467.95,366.99,23.017,24.971,5.4789,111.4475,3.837
122,LC_Frontier_5Cabinet,29.03,26.428,29.03,1468.34,367.08,23.015,24.968,5.3942,111.576,3.842
123,LC_Frontier_5Cabinet,29.107,26.487,29.107,1468.41,367.1,23.013,24.965,5.3071,111.6674,3.846
124,LC_Frontier_5Cabinet,29.229,26.579,29.229,1467.9,366.98,23.012,24.963,5.2173,111.6928,3.85
125,LC_Frontier_5Cabinet,29.35,26.681,29.35,1466.62,366.66,23.01,24.96,5.1247,111.6274,3.854
126,LC_Frontier_5Cabinet,29.462,26.779,29.462,1464.63,366.16,23.008,24.957,5.0298,111.4808,3.858
127,LC_Frontier_5Cabinet,29.576,26.879,29.576,1462.08,365.52,23.006,24.954,4.9331,111.2711,3.862
128,LC_Frontier_5Cabinet,29.694,26.993,29.694,1459.12,364.78,23.005,24.951,4.8353,111.0137,3.867
129,LC_Frontier_5Cabinet,29.809,27.108,29.809,1455.83,363.96,23.003,24.948,4.7367,110.7202,3.871
130,LC_Frontier_5Cabinet,29.923,27.224,29.923,1452.3,363.07,23.001,24.945,4.6379,110.4003,3.875
131,LC_Frontier_5Cabinet,30.014,27.334,30.014,1448.59,362.15,22.999,24.942,4.5391,110.0617,3.879
132,LC_Frontier_5Cabinet,30.078,27.426,30.078,1444.78,361.19,22.997,24.94,4.4407,109.7118,3.883
133,LC_Frontier_5Cabinet,30.144,27.515,30.144,1440.92,360.23,22.995,24.937,4.3429,109.3575,3.888
134,LC_Frontier_5Cabinet,30.222,27.61,30.222,1437.06,359.26,22.993,24.934,4.246,109.0047,3.892
135,LC_Frontier_5Cabinet,30.287,27.707,30.287,1433.25,358.31,22.991,24.931,4.1502,108.659,3.896
136,LC_Frontier_5Cabinet,30.33,27.786,30.33,1429.72,357.43,22.989,24.928,4.0568,108.3482,3.9
137,LC_Frontier_5Cabinet,30.378,27.862,30.378,1426.87,356.72,22.987,24.926,3.9666,108.1152,3.904
138,LC_Frontier_5Cabinet,30.439,27.946,30.439,1424.9,356.23,22.985,24.923,3.8794,107.9818,3.908
139,LC_Frontier_5Cabinet,30.512,28.037,30.512,1423.75,355.94,22.983,24.921,3.7951,107.9375,3.913
140,LC_Frontier_5Cabinet,30.592,28.133,30.592,1423.24,355.81,22.981,24.918,3.7144,107.9629,3.917
141,LC_Frontier_5Cabinet,30.675,28.23,30.675,1423.21,355.8,22.979,24.916,3.6382,108.04,3.921
142,LC_Frontier_5Cabinet,30.756,28.325,30.756,1423.5,355.88,22.977,24.914,3.5691,108.1533,3.925
143,LC_Frontier_5Cabinet,30.835,28.403,30.835,1424.14,356.04,22.975,24.912,3.5322,108.305,3.929
144,LC_Frontier_5Cabinet,30.917,28.451,30.917,1425.16,356.29,22.973,24.91,3.551,108.4987,3.933
145,LC_Frontier_5Cabinet,30.999,28.462,30.999,1426.51,356.63,22.972,24.908,3.639,108.7267,3.938
146,LC_Frontier_5Cabinet,31.079,28.429,31.079,1428.04,357.01,22.97,24.907,3.7945,108.9714,3.942
147,LC_Frontier_5Cabinet,31.164,28.362,31.164,1429.68,357.42,22.968,24.906,4.0023,109.2242,3.946
148,LC_Frontier_5Cabinet,31.245,28.272,31.245,1431.49,357.87,22.966,24.906,4.2475,109.4937,3.95
149,LC_Frontier_5Cabinet,31.296,28.149,31.296,1433.59,358.4,22.964,24.905,4.5141,109.7929,3.954
